Staat_ID;Industry_ID;2016:Q3;Industrie_Umsatz_Anteil
1;12;36552;18%
1;82;34162;17%
1;56;22815;11%
1;13;22228;11%
1;70;15323;7%
1;35;14781;7%
1;25;14325;7%
1;60;12050;6%
1;34;11558;6%
1;51;10749;5%
1;11;7882;4%
1;78;5840;3%
1;65;5618;3%
1;10;5463;3%
1;36;5384;3%
1;81;5309;3%
1;45;4458;2%
1;6;2314;1%
1;3;2175;1%
1;64;2094;1%
1;69;1093;1%
1;75;742;0%
2;82;10726;21%
2;6;8393;16%
2;36;6202;12%
2;56;4766;9%
2;70;3685;7%
2;35;2244;4%
2;11;2008;4%
2;60;1883;4%
2;12;1655;3%
2;78;1545;3%
2;25;1436;3%
2;45;1327;3%
2;51;1299;3%
2;34;1242;2%
2;65;1161;2%
2;81;930;2%
2;10;828;2%
2;3;785;2%
2;64;413;1%
2;75;305;1%
2;13;220;0%
2;69;145;0%
3;56;49311;16%
3;82;40555;13%
3;70;26353;9%
3;12;23835;8%
3;35;23776;8%
3;51;20118;7%
3;13;19827;7%
3;34;17335;6%
3;60;17116;6%
3;65;14384;5%
3;11;12713;4%
3;78;10518;3%
3;36;9455;3%
3;45;8639;3%
3;81;6557;2%
3;10;5823;2%
3;6;4020;1%
3;25;4007;1%
3;64;3956;1%
3;69;3378;1%
3;75;3047;1%
3;3;2118;1%
4;12;18066;15%
4;82;16037;13%
4;56;12432;10%
4;70;10374;8%
4;25;9752;8%
4;35;8884;7%
4;34;8787;7%
4;13;8314;7%
4;51;5616;5%
4;64;5134;4%
4;36;5104;4%
4;11;4766;4%
4;45;4553;4%
4;60;4375;4%
4;3;3826;3%
4;65;3428;3%
4;78;3292;3%
4;81;2845;2%
4;10;2707;2%
4;6;1704;1%
4;69;674;1%
4;75;495;0%
5;56;422437;16%
5;82;317250;12%
5;12;285823;11%
5;45;223024;9%
5;60;222993;9%
5;13;169459;7%
5;70;164403;6%
5;35;145733;6%
5;34;137684;5%
5;51;135925;5%
5;25;116363;4%
5;11;99092;4%
5;78;74121;3%
5;65;71077;3%
5;36;62416;2%
5;81;57210;2%
5;64;40776;2%
5;75;37968;1%
5;10;28718;1%
5;3;27924;1%
5;69;25844;1%
5;6;9211;0%
6;56;49087;15%
6;82;39940;12%
6;60;30154;9%
6;12;23264;7%
6;70;20799;6%
6;11;19307;6%
6;51;19208;6%
6;35;18094;6%
6;34;17987;6%
6;45;17796;5%
6;13;14097;4%
6;36;11014;3%
6;78;10723;3%
6;65;10438;3%
6;6;9253;3%
6;25;9166;3%
6;81;7695;2%
6;64;6802;2%
6;75;4716;1%
6;10;4578;1%
6;69;2380;1%
6;3;2212;1%
7;56;39424;15%
7;51;34909;13%
7;82;27139;10%
7;12;26324;10%
7;70;21426;8%
7;13;19417;7%
7;60;17515;7%
7;34;16641;6%
7;35;14266;5%
7;45;11487;4%
7;11;8731;3%
7;65;7649;3%
7;64;6977;3%
7;25;6907;3%
7;78;5551;2%
7;69;5333;2%
7;81;5331;2%
7;10;4761;2%
7;36;4647;2%
7;75;2406;1%
7;3;319;0%
7;6;206;0%
8;3;(D);
8;6;(D);
8;51;20723;29%
8;56;10932;15%
8;82;6703;9%
8;70;5071;7%
8;60;4502;6%
8;12;4168;6%
8;35;3064;4%
8;64;3000;4%
8;25;2910;4%
8;11;2753;4%
8;34;2234;3%
8;65;1692;2%
8;78;1596;2%
8;13;1258;2%
8;36;1130;2%
8;45;1107;2%
8;81;1061;1%
8;10;822;1%
8;75;486;1%
8;69;378;1%
9;56;148356;16%
9;82;107857;12%
9;70;80270;9%
9;35;70629;8%
9;60;68429;7%
9;34;63322;7%
9;51;60269;6%
9;12;46445;5%
9;11;45389;5%
9;78;41353;4%
9;65;40483;4%
9;45;38022;4%
9;36;31311;3%
9;13;29051;3%
9;81;26288;3%
9;75;17463;2%
9;25;17394;2%
9;10;17306;2%
9;64;15058;2%
9;69;8869;1%
9;3;5412;1%
9;6;1273;0%
10;56;64064;12%
10;82;62937;12%
10;12;56913;11%
10;51;41546;8%
10;34;40840;8%
10;45;37005;7%
10;60;36759;7%
10;70;34406;7%
10;35;32037;6%
10;25;30636;6%
10;13;26277;5%
10;36;22088;4%
10;11;21342;4%
10;65;20302;4%
10;78;14677;3%
10;81;10576;2%
10;64;10156;2%
10;10;9027;2%
10;69;5497;1%
10;75;3438;1%
10;3;3417;1%
10;6;1083;0%
11;82;18018;21%
11;56;15853;19%
11;78;7313;9%
11;70;5669;7%
11;35;5519;7%
11;11;5292;6%
11;36;4221;5%
11;60;3341;4%
11;65;3032;4%
11;51;3013;4%
11;34;2543;3%
11;81;1997;2%
11;45;1712;2%
11;12;1693;2%
11;10;1470;2%
11;25;1327;2%
11;64;1135;1%
11;75;912;1%
11;69;819;1%
11;3;424;1%
11;13;366;0%
11;6;89;0%
